contentId,title,description,date,url,thumb,thumbL,classNames,publisher,cluster,contentTypes,viewType,images,thumbIsGif
48873447,Đề thi thử vào lớp 10 môn Văn năm 2024 - 2025 Trường THCS Kim Đức - Phú Thọ,Tổng hợp đề thi thử vào lớp 10 môn Văn năm 2024 - 2025 của Trường THCS Kim Đức - Phú Thọ hay nhất với gợi ý trả lời chi tiết giúp học sinh có thêm tài liệu tham khảo để làm bài thi tốt nghiệp THPT năm 2024 tốt hơn.,1713430500,/de-thi-thu-vao-lop-10-mon-van-nam-2024-2025-truong-thcs-kim-duc-phu-tho-c48873447.epi,https://photo-baomoi.bmcdn.me/w250_r3x2/2024_04_18_421_48873447/9731e423396fd031897e.jpg,https://photo-baomoi.bmcdn.me/w700_r16x9/2024_04_18_421_48873447/9731e423396fd031897e.jpg,,Báo Đắk Nông,Phú Thọ,,,,
48873451,Khách vay mua nhà bức xúc vì ngân hàng tính lãi mập mờ,"Khi tất toán khoản vay mua nhà trước hạn khách hàng mới nhận ra cách tính gốc, lãi của ngân hàng không sòng phẳng.",1713430500,/khach-vay-mua-nha-buc-xuc-vi-ngan-hang-tinh-lai-map-mo-c48873451.epi,https://photo-baomoi.bmcdn.me/w250_r3x2/2024_04_18_15_48873451/a681bc9361df8881d1ce.jpg,https://photo-baomoi.bmcdn.me/w700_r16x9/2024_04_18_15_48873451/a681bc9361df8881d1ce.jpg,,Báo Người Lao Động,Năm,,,,
48873461,Tổng thống Ba Lan gặp riêng ông Trump tại New York,"Tổng thống Ba Lan Andrzej Duda cho biết, ông có cuộc gặp riêng cựu Tổng thống Mỹ và ứng cử viên tổng thống đảng Cộng hòa Donald Trump trong chuyến thăm New York vừa qua.",1713430500,/tong-thong-ba-lan-gap-rieng-ong-trump-tai-new-york-c48873461.epi,https://photo-baomoi.bmcdn.me/w250_r3x2/2024_04_18_20_48873461/90661174cc3825667c29.jpg,https://photo-baomoi.bmcdn.me/w700_r16x9/2024_04_18_20_48873461/90661174cc3825667c29.jpg,,Báo Tiền Phong,Trump,,,,
48873440,Nước sạch được cấp trở lại,"Ngày 18/4, chủ đầu tư chung cư Hà Nội Paragon đã cấp nước sạch trở lại cho các căn hộ có ý kiến phản đối quyết định của chủ đầu tư. Song, đại diện chủ đầu tư khẳng định, nếu cư dân không đóng các khoản phí thì sẽ ngừng cung cấp dịch vụ.",1713430380,/nuoc-sach-duoc-cap-tro-lai-c48873440.epi,https://photo-baomoi.bmcdn.me/w250_r3x2/2024_04_18_11_48873440/c3dc70cfad8344dd1d92.jpg,https://photo-baomoi.bmcdn.me/w700_r16x9/2024_04_18_11_48873440/c3dc70cfad8344dd1d92.jpg,,Báo Kinh tế & Đô thị,Tin Liên Quan,,,,
48873454,Giá vàng hôm nay ngày 18/4: Vàng đảo chiều giảm bởi quan điểm diều hâu của Powell,"Trong khi vàng trong nước biến động giằng co nhẹ dưới vùng đỉnh mới được thiết lập hồi đầu tháng, thì vàng thế giới đã chững lại và quay đầu điều chỉnh giảm bởi quan điểm diều hâu của Powell.",1713430351,/gia-vang-hom-nay-ngay-18-4-vang-dao-chieu-giam-boi-quan-diem-dieu-hau-cua-powell-c48873454.epi,https://photo-baomoi.bmcdn.me/w250_r3x2/2024_04_18_95_48873454/6fceaddc709099cec081.jpg,https://photo-baomoi.bmcdn.me/w700_r16x9/2024_04_18_95_48873454/6fceaddc709099cec081.jpg,,Chuyên trang Đầu Tư Chứng Khoán - Báo Đầu Tư,Giá Vàng,,,,
48873450,Chủ tịch Hạ viện Mỹ công bố chi tiết dự luật gói viện trợ mới cho Ukraine,"Theo Chủ tịch Hạ viện Mỹ Mike Johnson, các nhà lập pháp sẽ bỏ phiếu thông qua các dự luật viện trợ mới cho Ukraine và Israel vào tối 20/4 tới.",1713430320,/chu-tich-ha-vien-my-cong-bo-chi-tiet-du-luat-goi-vien-tro-moi-cho-ukraine-c48873450.epi,https://photo-baomoi.bmcdn.me/w250_r3x2/2024_04_18_294_48873450/d7f7ffe522a9cbf792b8.jpg,https://photo-baomoi.bmcdn.me/w700_r16x9/2024_04_18_294_48873450/d7f7ffe522a9cbf792b8.jpg,,Báo Tin Tức TTXVN,Thượng Viện Hoa Kỳ,,,,
48873464,"Lâm Đồng ra thời hạn thu hồi Dinh Bảo Đại, chuẩn bị đấu giá cho thuê","Tỉnh Lâm Đồng yêu cầu Hoàn Cầu Đà Lạt ngừng khai thác kinh doanh, bàn giao đất và tài sản dự án King Palace để cơ quan chức năng xây dựng phương án đấu giá quyền thuê trước ngày 30/4.",1713430320,/lam-dong-ra-thoi-han-thu-hoi-dinh-bao-dai-chuan-bi-dau-gia-cho-thue-c48873464.epi,https://photo-baomoi.bmcdn.me/w250_r3x2/2024_04_18_23_48873464/14a088b255febca0e5ef.jpg,https://photo-baomoi.bmcdn.me/w700_r16x9/2024_04_18_23_48873464/14a088b255febca0e5ef.jpg,,Báo VietnamNet,King Palace,,,,
48873439,Một nha khoa tại Việt Nam vừa đạt nút vàng hiếm hoi trên thế giới,"Với con số 1.000.000 người theo dõi trên trang YouTube, Nha khoa Lạc Việt Intech chính thức là kênh nha khoa ở Châu Á nhận được nút vàng hiếm hoi trên thế giới.",1713430260,/mot-nha-khoa-tai-viet-nam-vua-dat-nut-vang-hiem-hoi-tren-the-gioi-c48873439.epi,https://photo-baomoi.bmcdn.me/w250_r3x2/2024_04_18_329_48873439/82333c20e16c0832517d.jpg,https://photo-baomoi.bmcdn.me/w700_r16x9/2024_04_18_329_48873439/82333c20e16c0832517d.jpg,,Tạp chí SaoStar,Tin Liên Quan,,,,
48873442,Nghỉ lễ Giỗ Tổ Hùng Vương: Người dân Thủ đô đổ xô đến công viên vui chơi,"Ngày nghỉ lễ Giỗ Tổ Hùng Vương (10/3 Âm lịch), hàng nghìn người đã tới các công viên để tham quan và vui chơi.",1713430260,/nghi-le-gio-to-hung-vuong-nguoi-dan-thu-do-do-xo-den-cong-vien-vui-choi-c48873442.epi,https://photo-baomoi.bmcdn.me/w250_r3x2/2024_04_18_11_48873442/296e407c9d30746e2d21.jpg,https://photo-baomoi.bmcdn.me/w700_r16x9/2024_04_18_11_48873442/296e407c9d30746e2d21.jpg, is-photo,Báo Kinh tế & Đô thị,Tin Liên Quan,[1],grid,"[{'url': 'https://photo-baomoi.bmcdn.me/w200_r4x3/2024_04_18_11_48873442/96260835d5793c276568.jpg', 'width': 960, 'height': 720}, {'url': 'https://photo-baomoi.bmcdn.me/w200_r4x3/2024_04_18_11_48873442/2f07b6146b588206db49.jpg', 'width': 960, 'height': 720}, {'url': 'https://photo-baomoi.bmcdn.me/w200_r4x3/2024_04_18_11_48873442/87bb1fa8c2e42bba72f5.jpg', 'width': 960, 'height': 720}, {'url': 'https://photo-baomoi.bmcdn.me/w200_r4x3/2024_04_18_11_48873442/b3072814f5581c064549.jpg', 'width': 960, 'height': 720}]",
48873436,Pleiku: Cháy nhà dân tại đường Hàn Mặc Tử,"Vào khoảng 13 giờ 20 ngày 18-4, đã xảy ra vụ cháy nhà người dân tại tổ 6, phường Trà Bá, TP. Pleiku. Công an TP. Pleiku phối hợp với lực lượng Cảnh sát Phòng cháy chữa cháy và Cứu nạn cứu hộ (Công an tỉnh Gia Lai) nhanh chóng vào cuộc dập tắt đám cháy.",1713430200,/pleiku-chay-nha-dan-tai-duong-han-mac-tu-c48873436.epi,https://photo-baomoi.bmcdn.me/w250_r3x2/2024_04_18_425_48873436/82eb40f89db474ea2da5.jpg,https://photo-baomoi.bmcdn.me/w700_r16x9/2024_04_18_425_48873436/82eb40f89db474ea2da5.jpg,,Báo Gia Lai,Các Vụ Hỏa Hoạn Nghiêm Trọng,,,,
